lp;data;city;shop;category;product;price;quantity
1;2014-11-23;London;Newbold Accountancy Services;furniture;desk;149.99;4
2;2017-05-07;Berlin;Quality Boiler Repairs;school equipment;blackboard;590.0;2
3;2017-05-05;Cracow;Richards Textiles;school and office equipment;pen;0.99;51
4;2016-10-19;Cracow;Sterling Cameras;school equipment;sponge;4.0;250
5;2016-04-08;Krakow;Noakes Paper Products;furniture;desk;149.99;9
6;2016-09-01;Warszawa;Salisbury Promotions;furniture;swivel chair;69.0;19
7;2016-03-12;Rome;Pearce Printing;school equipment;blackboard;590.0;1
8;2015-04-05;Rome;Pearce Printing;furniture;desk;149.99;4
9;2016-12-25;Cracow;Grange Locksmiths;school and office equipment;pen;1.49;39
10;2015-09-30;Warszawa;Salisbury Promotions;furniture;swivel chair;69.0;31
11;2015-08-14;Warszawa;North Point Services;school equipment;chalk;5.0;408
12;2017-01-12;Paris;Summit Cash & Carry;school and office equipment;punch;7.5;200
13;2014-12-16;Rome;Pearce Printing;school equipment;blackboard;590.0;1
14;2015-10-14;Krakow;Jeffries Logistics;school equipment;blackboard;590.0;2
15;2014-12-03;Berlin;Quality Boiler Repairs;school and office equipment;pen;0.99;138
16;2016-04-29;Krakow;Grady Recycling;furniture;desk;149.99;6
17;2016-12-11;Berlin;Billingham Workshops;furniture;desk;149.99;4
18;2015-10-15;Krakow;Noakes Paper Products;furniture;swivel chair;69.0;14
19;2015-03-24;Paris;Holt Packaging;school equipment;chalk;5.0;213
20;2017-02-02;Barcelona;Super Memorabilia;school equipment;sponge;4.0;204
21;2017-02-01;Warszawa;Salisbury Promotions;school equipment;chalk;5.0;284
22;2016-03-05;Warszawa;North Point Services;school equipment;chalk;5.0;479
23;2016-04-14;Barcelona;Super Memorabilia;school equipment;sponge;4.0;293
24;2015-02-18;Krakow;Jeffries Logistics;school equipment;chalk;5.0;218
25;2015-04-01;Rome;Pearce Printing;school and office equipment;pen;1.49;21
26;2015-09-12;London;Haddow Camping Supplies;furniture;swivel chair;69.0;9
27;2016-08-25;Paris;Holt Packaging;school and office equipment;plasticine;2.99;211
28;2016-06-06;Paris;Holt Packaging;school equipment;sponge;4.0;398
29;2015-09-03;Cracow;Grange Locksmiths;furniture;desk;149.99;5
30;2015-10-08;Krakow;Noakes Paper Products;furniture;desk;149.99;3
31;2017-04-06;Krakow;Jeffries Logistics;school and office equipment;punch;7.5;152
32;2014-11-15;Cracow;Richards Textiles;school equipment;blackboard;590.0;2
33;2016-03-03;Berlin;Billingham Workshops;school and office equipment;punch;7.5;70
34;2016-07-26;Paris;Wright Sporting Goods;school and office equipment;punch;7.5;238
35;2015-01-03;Rome;Khan Cabs;furniture;swivel chair;69.0;1
36;2016-01-07;Berlin;On Top Workshops;furniture;swivel chair;69.0;7
37;2016-09-21;Paris;Summit Cash & Carry;school and office equipment;pen;0.99;162
38;2016-03-01;Cracow;Valley Coaches;school equipment;sponge;4.0;84
39;2016-08-27;Berlin;Billingham Workshops;school and office equipment;pen;0.99;53
40;2016-10-09;Rome;Khan Cabs;school and office equipment;pen;0.99;72
41;2017-02-07;Warszawa;North Point Services;school equipment;sponge;4.0;473
42;2015-07-09;Krakow;Grady Recycling;furniture;swivel chair;69.0;28
43;2016-05-14;Krakow;Grady Recycling;furniture;swivel chair;69.0;30
44;2015-02-23;Barcelona;Super Memorabilia;school equipment;blackboard;590.0;1
45;2016-05-19;Warszawa;Salisbury Promotions;school equipment;chalk;5.0;33
46;2014-11-26;Cracow;Richards Textiles;school equipment;blackboard;590.0;3
47;2016-02-09;Berlin;Billingham Workshops;furniture;desk;149.99;4
48;2017-02-21;Cracow;Richards Textiles;school equipment;blackboard;590.0;1
49;2016-07-27;Cracow;Richards Textiles;school equipment;blackboard;590.0;3
50;2015-02-13;Rome;Pearce Printing;furniture;swivel chair;69.0;2
51;2017-01-19;London;Newbold Accountancy Services;school and office equipment;punch;7.5;59
52;2016-11-12;London;Ashton Electronics;school and office equipment;pen;1.49;153
53;2015-12-05;Paris;Summit Cash & Carry;furniture;swivel chair;69.0;28
54;2017-04-15;Cracow;Grange Locksmiths;furniture;swivel chair;69.0;6
55;2015-11-27;Rome;Khan Cabs;school and office equipment;pen;1.49;33
56;2015-02-06;Cracow;Richards Textiles;furniture;swivel chair;69.0;13
57;2016-09-05;Berlin;Billingham Workshops;furniture;desk;149.99;6
58;2015-08-23;Barcelona;Rathbone Double Glazing;furniture;swivel chair;69.0;6
59;2016-01-10;Rome;Khan Cabs;school equipment;chalk;5.0;45
60;2017-02-08;Rome;Pearce Printing;school and office equipment;pen;0.99;19
61;2017-02-09;London;Ashton Electronics;furniture;swivel chair;69.0;7
62;2016-02-21;Krakow;Noakes Paper Products;school equipment;blackboard;590.0;4
63;2017-02-02;Rome;Pearce Printing;school equipment;chalk;5.0;72
64;2017-02-07;Cracow;Sterling Cameras;furniture;desk;149.99;6
